Knight Tour Path:
Step 1: (0, 0) -> a1
Step 75: (143, 1) -> b144
Step 76: (145, 0) -> a146
Step 77: (147, 1) -> b148
Step 78: (149, 0) -> a150
Step 79: (151, 1) -> b152
Step 80: (153, 0) -> a154
Step 81: (155, 1) -> b156
Step 82: (157, 0) -> a158
Step 83: (159, 1) -> b160
Step 84: (161, 0) -> a162
Step 85: (163, 1) -> b164
Step 86: (165, 0) -> a166
Step 87: (167, 1) -> b168
Step 88: (169, 0) -> a170
Step 89: (171, 1) -> b172
Step 90: (173, 0) -> a174
Step 91: (175, 1) -> b176
Step 92: (177, 0) -> a178
Step 93: (179, 1) -> b180
Step 94: (181, 0) -> a182
Step 95: (183, 1) -> b184
Step 96: (185, 0) -> a186
Step 97: (187, 1) -> b188
Step 98: (189, 0) -> a190
Step 99: (191, 1) -> b192
Step 100: (193, 0) -> a194
Step 101: (195, 1) -> b196
Step 102: (197, 0) -> a198
Step 103: (199, 1) -> b200
Step 104: (201, 0) -> a202
Step 105: (203, 1) -> b204
Step 106: (205, 0) -> a206
Step 107: (207, 1) -> b208
Step 108: (209, 0) -> a210
Step 109: (211, 1) -> b212
Step 110: (213, 0) -> a214
Step 111: (215, 1) -> b216
Step 112: (217, 0) -> a218
Step 113: (219, 1) -> b220
Step 114: (221, 0) -> a222
Step 115: (223, 1) -> b224
Step 116: (225, 0) -> a226
Step 117: (227, 1) -> b228
Step 118: (229, 0) -> a230
Step 119: (231, 1) -> b232
Step 120: (233, 0) -> a234
Step 121: (235, 1) -> b236
Step 122: (237, 0) -> a238
Step 123: (239, 1) -> b240
Step 124: (241, 0) -> a242
Step 125: (243, 1) -> b244
Step 126: (245, 0) -> a246
Step 127: (247, 1) -> b248
Step 128: (249, 0) -> a250
Step 129: (251, 1) -> b252
Step 130: (253, 0) -> a254
Step 131: (254, 2) -> c255
Step 132: (252, 1) -> b253
Step 133: (254, 0) -> a255
Step 134: (253, 2) -> c254
Step 135: (252, 0) -> a253
Step 136: (254, 1) -> b255
Step 137: (253, 3) -> d254
Step 138: (254, 5) -> f255
Step 139: (253, 7) -> h254
Step 140: (254, 9) -> j255
Step 141: (253, 11) -> l254
Step 142: (254, 13) -> n255
Step 143: (253, 15) -> p254
Step 144: (254, 17) -> r255
Step 145: (253, 19) -> t254
Step 146: (254, 21) -> v255
Step 147: (253, 23) -> x254
Step 148: (254, 25) -> z255
Step 149: (253, 27) -> |254
Step 150: (254, 29) -> ~255
Step 151: (253, 31) -> 254
Step 152: (254, 33) -> 255
Step 153: (253, 35) -> 254
Step 154: (254, 37) -> 255
Step 155: (253, 39) -> 254
Step 156: (254, 41) -> 255
Step 157: (253, 43) -> 254
Step 158: (254, 45) -> 255
Step 159: (253, 47) -> 254
Step 160: (254, 49) -> 255
Step 161: (253, 51) -> 254
Step 162: (254, 53) -> 255
Step 163: (253, 55) -> 254
Step 164: (254, 57) -> 255
Step 165: (253, 59) -> 254
Step 166: (254, 61) -> 255
Step 167: (253, 63) ->  254
Step 168: (254, 65) -> ¢255
Step 169: (253, 67) -> ¤254
Step 170: (254, 69) -> ¦255
Step 171: (253, 71) -> ¨254
Step 172: (254, 73) -> ª255
Step 173: (253, 75) -> ¬254
Step 174: (254, 77) -> ®255
Step 175: (253, 79) -> °254
Step 176: (254, 81) -> ²255
Step 177: (253, 83) -> ´254
Step 178: (254, 85) -> ¶255
Step 179: (253, 87) -> ¸254
Step 180: (254, 89) -> º255
Step 181: (253, 91) -> ¼254
Step 182: (254, 93) -> ¾255
Step 183: (253, 95) -> À254
Step 184: (254, 97) -> Â255
Step 185: (253, 99) -> Ä254
Step 186: (254, 101) -> Æ255
Step 187: (253, 103) -> È254
Step 188: (254, 105) -> Ê255
Step 189: (253, 107) -> Ì254
Step 190: (254, 109) -> Î255
Step 191: (253, 111) -> Ð254
Step 192: (254, 113) -> Ò255
Step 193: (253, 115) -> Ô254
Step 194: (254, 117) -> Ö255
Step 195: (253, 119) -> Ø254
Step 196: (254, 121) -> Ú255
Step 197: (253, 123) -> Ü254
Step 198: (254, 125) -> Þ255
Step 199: (253, 127) -> à254
Step 200: (254, 129) -> â255
Step 201: (253, 131) -> ä254
Step 202: (254, 133) -> æ255
Step 203: (253, 135) -> è254
Step 204: (254, 137) -> ê255
Step 205: (253, 139) -> ì254
Step 206: (254, 141) -> î255
Step 207: (253, 143) -> ð254
Step 208: (254, 145) -> ò255
Step 209: (253, 147) -> ô254
Step 210: (254, 149) -> ö255
Step 211: (253, 151) -> ø254
Step 212: (254, 153) -> ú255
Step 213: (253, 155) -> ü254
Step 214: (254, 157) -> þ255
Step 215: (253, 159) -> Ā254
Step 216: (254, 161) -> Ă255
Step 217: (253, 163) -> Ą254
Step 218: (254, 165) -> Ć255
Step 219: (253, 167) -> Ĉ254
Step 220: (254, 169) -> Ċ255
Step 221: (253, 171) -> Č254
Step 222: (254, 173) -> Ď255
Step 223: (253, 175) -> Đ254
Step 224: (254, 177) -> Ē255
Step 225: (253, 179) -> Ĕ254
Step 226: (254, 181) -> Ė255
Step 227: (253, 183) -> Ę254
Step 228: (254, 185) -> Ě255
Step 229: (253, 187) -> Ĝ254
Step 230: (254, 189) -> Ğ255
Step 231: (253, 191) -> Ġ254
Step 232: (254, 193) -> Ģ255
Step 233: (253, 195) -> Ĥ254
Step 234: (254, 197) -> Ħ255
Step 235: (253, 199) -> Ĩ254
Step 236: (254, 201) -> Ī255
Step 237: (253, 203) -> Ĭ254
Step 238: (254, 205) -> Į255
Step 239: (253, 207) -> İ254
Step 240: (254, 209) -> Ĳ255
Step 241: (253, 211) -> Ĵ254
Step 242: (254, 213) -> Ķ255
Step 243: (253, 215) -> ĸ254
Step 244: (254, 217) -> ĺ255
Step 245: (253, 219) -> ļ254
Step 246: (254, 221) -> ľ255
Step 247: (253, 223) -> ŀ254
Step 248: (254, 225) -> ł255
Step 249: (253, 227) -> ń254
Step 250: (254, 229) -> ņ255
Step 251: (253, 231) -> ň254
Step 252: (254, 233) -> Ŋ255
Step 253: (253, 235) -> Ō254
Step 254: (254, 237) -> Ŏ255
Step 255: (253, 239) -> Ő254
Step 256: (254, 241) -> Œ255
Step 257: (253, 243) -> Ŕ254
Step 258: (254, 245) -> Ŗ255
Step 259: (253, 247) -> Ř254
Step 260: (254, 249) -> Ś255
Step 261: (253, 251) -> Ŝ254
Step 262: (254, 253) -> Ş255
Step 263: (252, 254) -> ş253
Step 264: (253, 252) -> ŝ254
Step 265: (254, 254) -> ş255
Step 266: (252, 253) -> Ş253
Step 267: (254, 252) -> ŝ255
Step 268: (253, 254) -> ş254
Step 269: (251, 253) -> Ş252
Step 270: (249, 254) -> ş250
Step 271: (247, 253) -> Ş248
Step 272: (245, 254) -> ş246
Step 273: (243, 253) -> Ş244
Step 274: (241, 254) -> ş242
Step 275: (239, 253) -> Ş240
Step 276: (237, 254) -> ş238
Step 277: (235, 253) -> Ş236
Step 278: (233, 254) -> ş234
Step 279: (231, 253) -> Ş232
Step 280: (229, 254) -> ş230
Step 281: (227, 253) -> Ş228
Step 282: (225, 254) -> ş226
Step 283: (223, 253) -> Ş224
Step 284: (221, 254) -> ş222
Step 285: (219, 253) -> Ş220
Step 286: (217, 254) -> ş218
Step 287: (215, 253) -> Ş216
Step 288: (213, 254) -> ş214
Step 289: (211, 253) -> Ş212
Step 290: (209, 254) -> ş210
Step 291: (207, 253) -> Ş208
Step 292: (205, 254) -> ş206
Step 293: (203, 253) -> Ş204
Step 294: (201, 254) -> ş202
Step 295: (199, 253) -> Ş200
Step 296: (197, 254) -> ş198
Step 297: (195, 253) -> Ş196
Step 298: (193, 254) -> ş194
Step 299: (191, 253) -> Ş192
Step 300: (189, 254) -> ş190
Step 301: (187, 253) -> Ş188
Step 302: (185, 254) -> ş186
Step 303: (183, 253) -> Ş184
Step 304: (181, 254) -> ş182
Step 305: (179, 253) -> Ş180
Step 306: (177, 254) -> ş178
Step 307: (175, 253) -> Ş176
Step 308: (173, 254) -> ş174
Step 309: (171, 253) -> Ş172
Step 310: (169, 254) -> ş170
Step 311: (167, 253) -> Ş168
Step 312: (165, 254) -> ş166
Step 313: (163, 253) -> Ş164
Step 314: (161, 254) -> ş162
Step 315: (159, 253) -> Ş160
Step 316: (157, 254) -> ş158
Step 317: (155, 253) -> Ş156
Step 318: (153, 254) -> ş154
Step 319: (151, 253) -> Ş152
Step 320: (149, 254) -> ş150
Step 321: (147, 253) -> Ş148
Step 322: (145, 254) -> ş146
Step 323: (143, 253) -> Ş144
Step 324: (141, 254) -> ş142
Step 325: (139, 253) -> Ş140
Step 326: (137, 254) -> ş138
Step 327: (135, 253) -> Ş136
Step 328: (133, 254) -> ş134
Step 329: (131, 253) -> Ş132
Step 330: (129, 254) -> ş130
Step 331: (127, 253) -> Ş128
Step 332: (125, 254) -> ş126
Step 333: (123, 253) -> Ş124
Step 334: (121, 254) -> ş122
Step 335: (119, 253) -> Ş120
Step 336: (117, 254) -> ş118
Step 337: (115, 253) -> Ş116
Step 338: (113, 254) -> ş114
Step 339: (111, 253) -> Ş112
Step 340: (109, 254) -> ş110
Step 341: (107, 253) -> Ş108
Step 342: (105, 254) -> ş106
Step 343: (103, 253) -> Ş104
Step 344: (101, 254) -> ş102
Step 345: (99, 253) -> Ş100
Step 346: (97, 254) -> ş98
Step 347: (95, 253) -> Ş96
Step 348: (93, 254) -> ş94
Step 349: (91, 253) -> Ş92
Step 350: (89, 254) -> ş90
Step 351: (87, 253) -> Ş88
Step 352: (85, 254) -> ş86
Step 353: (83, 253) -> Ş84
Step 354: (81, 254) -> ş82
Step 355: (79, 253) -> Ş80
Step 356: (77, 254) -> ş78
Step 357: (75, 253) -> Ş76
Step 358: (73, 254) -> ş74
Step 359: (71, 253) -> Ş72
Step 360: (69, 254) -> ş70
Step 361: (67, 253) -> Ş68
Step 362: (65, 254) -> ş66
Step 363: (63, 253) -> Ş64
Step 364: (61, 254) -> ş62
Step 365: (59, 253) -> Ş60
Step 366: (57, 254) -> ş58
Step 367: (55, 253) -> Ş56
Step 368: (53, 254) -> ş54
Step 369: (51, 253) -> Ş52
Step 370: (49, 254) -> ş50
Step 371: (47, 253) -> Ş48
Step 372: (45, 254) -> ş46
Step 373: (43, 253) -> Ş44
Step 374: (41, 254) -> ş42
Step 375: (39, 253) -> Ş40
Step 376: (37, 254) -> ş38
Step 377: (35, 253) -> Ş36
Step 378: (33, 254) -> ş34
Step 379: (31, 253) -> Ş32
Step 380: (29, 254) -> ş30
Step 381: (27, 253) -> Ş28
Step 382: (25, 254) -> ş26
Step 383: (23, 253) -> Ş24
Step 384: (21, 254) -> ş22
Step 385: (19, 253) -> Ş20
Step 386: (17, 254) -> ş18
Step 387: (15, 253) -> Ş16
Step 388: (13, 254) -> ş14
Step 389: (11, 253) -> Ş12
Step 390: (9, 254) -> ş10
Step 391: (7, 253) -> Ş8
Step 392: (5, 254) -> ş6
Step 393: (3, 253) -> Ş4
Step 394: (1, 254) -> ş2
Step 395: (0, 252) -> ŝ1
Step 396: (2, 253) -> Ş3
Step 397: (0, 254) -> ş1
Step 398: (1, 252) -> ŝ2
Step 399: (2, 254) -> ş3
Step 400: (0, 253) -> Ş1
Step 401: (1, 251) -> Ŝ2
Step 402: (0, 249) -> Ś1
Step 403: (1, 247) -> Ř2
Step 404: (0, 245) -> Ŗ1
Step 405: (1, 243) -> Ŕ2
Step 406: (0, 241) -> Œ1
Step 407: (1, 239) -> Ő2
Step 408: (0, 237) -> Ŏ1
Step 409: (1, 235) -> Ō2
Step 410: (0, 233) -> Ŋ1
Step 411: (1, 231) -> ň2
Step 412: (0, 229) -> ņ1
Step 413: (1, 227) -> ń2
Step 414: (0, 225) -> ł1
Step 415: (1, 223) -> ŀ2
Step 416: (0, 221) -> ľ1
Step 417: (1, 219) -> ļ2
Step 418: (0, 217) -> ĺ1
Step 419: (1, 215) -> ĸ2
Step 420: (0, 213) -> Ķ1
Step 421: (1, 211) -> Ĵ2
Step 422: (0, 209) -> Ĳ1
Step 423: (1, 207) -> İ2
Step 424: (0, 205) -> Į1
Step 425: (1, 203) -> Ĭ2
Step 426: (0, 201) -> Ī1
Step 427: (1, 199) -> Ĩ2
Step 428: (0, 197) -> Ħ1
Step 429: (1, 195) -> Ĥ2
Step 430: (0, 193) -> Ģ1
Step 431: (1, 191) -> Ġ2
Step 432: (0, 189) -> Ğ1
Step 433: (1, 187) -> Ĝ2
Step 434: (0, 185) -> Ě1
Step 435: (1, 183) -> Ę2
Step 436: (0, 181) -> Ė1
Step 437: (1, 179) -> Ĕ2
Step 438: (0, 177) -> Ē1
Step 439: (1, 175) -> Đ2
Step 440: (0, 173) -> Ď1
Step 441: (1, 171) -> Č2
Step 442: (0, 169) -> Ċ1
Step 443: (1, 167) -> Ĉ2
Step 444: (0, 165) -> Ć1
Step 445: (1, 163) -> Ą2
Step 446: (0, 161) -> Ă1
Step 447: (1, 159) -> Ā2
Step 448: (0, 157) -> þ1
Step 449: (1, 155) -> ü2
Step 450: (0, 153) -> ú1
Step 451: (1, 151) -> ø2
Step 452: (0, 149) -> ö1
Step 453: (1, 147) -> ô2
Step 454: (0, 145) -> ò1
Step 455: (1, 143) -> ð2
Step 456: (0, 141) -> î1
Step 457: (1, 139) -> ì2
Step 458: (0, 137) -> ê1
Step 459: (1, 135) -> è2
Step 460: (0, 133) -> æ1
Step 461: (1, 131) -> ä2
Step 462: (0, 129) -> â1
Step 463: (1, 127) -> à2
Step 464: (0, 125) -> Þ1
Step 465: (1, 123) -> Ü2
Step 466: (0, 121) -> Ú1
Step 467: (1, 119) -> Ø2
Step 468: (0, 117) -> Ö1
Step 469: (1, 115) -> Ô2
Step 470: (0, 113) -> Ò1
Step 471: (1, 111) -> Ð2
Step 472: (0, 109) -> Î1
Step 473: (1, 107) -> Ì2
Step 474: (0, 105) -> Ê1
Step 475: (1, 103) -> È2
Step 476: (0, 101) -> Æ1
Step 477: (1, 99) -> Ä2
Step 478: (0, 97) -> Â1
Step 479: (1, 95) -> À2
Step 480: (0, 93) -> ¾1
Step 481: (1, 91) -> ¼2
Step 482: (0, 89) -> º1
Step 483: (1, 87) -> ¸2
Step 484: (0, 85) -> ¶1
Step 485: (1, 83) -> ´2
Step 486: (0, 81) -> ²1
Step 487: (1, 79) -> °2
Step 488: (0, 77) -> ®1
Step 489: (1, 75) -> ¬2
Step 490: (0, 73) -> ª1
Step 491: (1, 71) -> ¨2
Step 492: (0, 69) -> ¦1
Step 493: (1, 67) -> ¤2
Step 494: (0, 65) -> ¢1
Step 495: (1, 63) ->  2
Step 496: (0, 61) -> 1
Step 497: (1, 59) -> 2
Step 498: (0, 57) -> 1
Step 499: (1, 55) -> 2
Step 500: (0, 53) -> 1
Step 501: (1, 51) -> 2
Step 502: (0, 49) -> 1
Step 503: (1, 47) -> 2
Step 504: (0, 45) -> 1
Step 505: (1, 43) -> 2
Step 506: (0, 41) -> 1
Step 507: (1, 39) -> 2
Step 508: (0, 37) -> 1
Step 509: (1, 35) -> 2
Step 510: (0, 33) -> 1
Step 511: (1, 31) -> 2
Step 512: (0, 29) -> ~1
Step 513: (1, 27) -> |2
Step 514: (0, 25) -> z1
Step 515: (1, 23) -> x2
Step 516: (0, 21) -> v1
Step 517: (1, 19) -> t2
Step 518: (0, 17) -> r1
Step 519: (1, 15) -> p2
Step 520: (0, 13) -> n1
Step 521: (1, 11) -> l2
Step 522: (0, 9) -> j1
Step 523: (1, 7) -> h2
Step 524: (0, 5) -> f1
Step 525: (1, 3) -> d2
Step 526: (0, 1) -> b1
Step 527: (2, 0) -> a3
Step 528: (1, 2) -> c2
Step 529: (0, 4) -> e1
Step 530: (2, 3) -> d3
Step 531: (1, 1) -> b2
Step 532: (3, 0) -> a4
Step 533: (4, 2) -> c5
Step 534: (6, 1) -> b7
Step 535: (4, 0) -> a5
Step 536: (3, 2) -> c4
Step 537: (5, 1) -> b6
Step 538: (7, 0) -> a8
Step 539: (9, 1) -> b10
Step 540: (11, 0) -> a12
Step 541: (13, 1) -> b14
Step 542: (15, 0) -> a16
Step 543: (17, 1) -> b18
Step 544: (19, 0) -> a20
Step 545: (21, 1) -> b22
Step 546: (23, 0) -> a24
Step 547: (25, 1) -> b26
Step 548: (27, 0) -> a28
Step 549: (29, 1) -> b30
Step 550: (31, 0) -> a32
Step 551: (33, 1) -> b34
Step 552: (35, 0) -> a36
Step 553: (37, 1) -> b38
Step 554: (39, 0) -> a40
Step 555: (41, 1) -> b42
Step 556: (43, 0) -> a44
Step 557: (45, 1) -> b46
Step 558: (47, 0) -> a48
Step 559: (49, 1) -> b50
Step 560: (51, 0) -> a52
Step 561: (53, 1) -> b54
Step 562: (55, 0) -> a56
Step 563: (57, 1) -> b58
Step 564: (59, 0) -> a60
Step 565: (61, 1) -> b62
Step 566: (63, 0) -> a64
Step 567: (65, 1) -> b66
Step 568: (67, 0) -> a68
Step 569: (69, 1) -> b70
Step 570: (71, 0) -> a72
Step 571: (73, 1) -> b74
Step 572: (75, 0) -> a76
Step 573: (77, 1) -> b78
Step 574: (79, 0) -> a80
Step 575: (81, 1) -> b82
Step 576: (83, 0) -> a84
Step 577: (85, 1) -> b86
Step 578: (87, 0) -> a88
Step 579: (89, 1) -> b90
Step 580: (91, 0) -> a92
Step 581: (93, 1) -> b94
Step 582: (95, 0) -> a96
Step 583: (97, 1) -> b98
Step 584: (99, 0) -> a100
Step 585: (101, 1) -> b102
Step 586: (103, 0) -> a104
Step 587: (105, 1) -> b106
Step 588: (107, 0) -> a108
Step 589: (109, 1) -> b110
Step 590: (111, 0) -> a112
Step 591: (113, 1) -> b114
Step 592: (115, 0) -> a116
Step 593: (117, 1) -> b118
Step 594: (119, 0) -> a120
Step 595: (121, 1) -> b122
Step 596: (123, 0) -> a124
Step 597: (125, 1) -> b126
Step 598: (127, 0) -> a128
Step 599: (129, 1) -> b130
Step 600: (131, 0) -> a132
Step 601: (133, 1) -> b134
Step 602: (135, 0) -> a136
Step 603: (137, 1) -> b138
Step 604: (139, 0) -> a140
Step 605: (141, 1) -> b142
Step 606: (143, 0) -> a144
Step 607: (145, 1) -> b146
Step 608: (147, 0) -> a148
Step 609: (149, 1) -> b150
Step 610: (151, 0) -> a152
Step 611: (153, 1) -> b154
Step 612: (155, 0) -> a156
Step 613: (157, 1) -> b158
Step 614: (159, 0) -> a160
Step 615: (161, 1) -> b162
Step 616: (163, 0) -> a164
Step 617: (165, 1) -> b166
Step 618: (167, 0) -> a168
Step 619: (169, 1) -> b170
Step 620: (171, 0) -> a172
Step 621: (173, 1) -> b174
Step 622: (175, 0) -> a176
Step 623: (177, 1) -> b178
Step 624: (179, 0) -> a180
Step 625: (181, 1) -> b182
Step 626: (183, 0) -> a184
Step 627: (185, 1) -> b186
Step 628: (187, 0) -> a188
Step 629: (189, 1) -> b190
Step 630: (191, 0) -> a192
Step 631: (193, 1) -> b194
Step 632: (195, 0) -> a196
Step 633: (197, 1) -> b198
Step 634: (199, 0) -> a200
Step 635: (201, 1) -> b202
Step 636: (203, 0) -> a204
Step 637: (205, 1) -> b206
Step 638: (207, 0) -> a208
Step 639: (209, 1) -> b210
Step 640: (211, 0) -> a212
Step 641: (213, 1) -> b214
Step 642: (215, 0) -> a216
Step 643: (217, 1) -> b218
Step 644: (219, 0) -> a220
Step 645: (221, 1) -> b222
Step 646: (223, 0) -> a224
Step 647: (225, 1) -> b226
Step 648: (227, 0) -> a228
Step 649: (229, 1) -> b230
Step 650: (231, 0) -> a232
Step 651: (233, 1) -> b234
Step 652: (235, 0) -> a236
Step 653: (237, 1) -> b238
Step 654: (239, 0) -> a240
Step 655: (241, 1) -> b242
Step 656: (243, 0) -> a244
Step 657: (245, 1) -> b246
Step 658: (247, 0) -> a248
Step 659: (249, 1) -> b250
Step 660: (251, 0) -> a252
Step 661: (253, 1) -> b254
Step 662: (254, 3) -> d255
Step 663: (252, 2) -> c253
Step 664: (250, 1) -> b251
Step 665: (248, 0) -> a249
Step 666: (249, 2) -> c250
Step 667: (250, 0) -> a251
Step 668: (251, 2) -> c252
Step 669: (252, 4) -> e253
Step 670: (250, 3) -> d251
Step 671: (248, 2) -> c249
Step 672: (246, 1) -> b247
Step 673: (244, 0) -> a245
Step 674: (245, 2) -> c246
Step 675: (246, 0) -> a247
Step 676: (248, 1) -> b249
Step 677: (250, 2) -> c251
Step 678: (252, 3) -> d253
Step 679: (254, 4) -> e255
Step 680: (253, 6) -> g254
Step 681: (254, 8) -> i255
Step 682: (253, 10) -> k254
Step 683: (254, 12) -> m255
Step 684: (253, 14) -> o254
Step 685: (254, 16) -> q255
Step 686: (253, 18) -> s254
Step 687: (254, 20) -> u255
Step 688: (253, 22) -> w254
Step 689: (254, 24) -> y255
Step 690: (253, 26) -> {254
Step 691: (254, 28) -> }255
Step 692: (253, 30) -> 254
Step 693: (254, 32) -> 255
Step 694: (253, 34) -> 254
Step 695: (254, 36) -> 255
Step 696: (253, 38) -> 254
Step 697: (254, 40) -> 255
Step 698: (253, 42) -> 254
Step 699: (254, 44) -> 255
Step 700: (253, 46) -> 254
Step 701: (254, 48) -> 255
Step 702: (253, 50) -> 254
Step 703: (254, 52) -> 255
Step 704: (253, 54) -> 254
Step 705: (254, 56) -> 255
Step 706: (253, 58) -> 254
Step 707: (254, 60) -> 255
Step 708: (253, 62) -> 254
Step 709: (254, 64) -> ¡255
Step 710: (253, 66) -> £254
Step 711: (254, 68) -> ¥255
Step 712: (253, 70) -> §254
Step 713: (254, 72) -> ©255
Step 714: (253, 74) -> «254
Step 715: (254, 76) -> ­255
Step 716: (253, 78) -> ¯254
Step 717: (254, 80) -> ±255
Step 718: (253, 82) -> ³254
Step 719: (254, 84) -> µ255
Step 720: (253, 86) -> ·254
Step 721: (254, 88) -> ¹255
Step 722: (253, 90) -> »254
Step 723: (254, 92) -> ½255
Step 724: (253, 94) -> ¿254
Step 725: (254, 96) -> Á255
Step 726: (253, 98) -> Ã254
Step 727: (254, 100) -> Å255
Step 728: (253, 102) -> Ç254
Step 729: (254, 104) -> É255
Step 730: (253, 106) -> Ë254
Step 731: (254, 108) -> Í255
Step 732: (253, 110) -> Ï254
Step 733: (254, 112) -> Ñ255
Step 734: (253, 114) -> Ó254
Step 735: (254, 116) -> Õ255
Step 736: (253, 118) -> ×254
Step 737: (254, 120) -> Ù255
Step 738: (253, 122) -> Û254
Step 739: (254, 124) -> Ý255
Step 740: (253, 126) -> ß254
Step 741: (254, 128) -> á255
Step 742: (253, 130) -> ã254
Step 743: (254, 132) -> å255
Step 744: (253, 134) -> ç254
Step 745: (254, 136) -> é255
Step 746: (253, 138) -> ë254
Step 747: (254, 140) -> í255
Step 748: (253, 142) -> ï254
Step 749: (254, 144) -> ñ255
Step 750: (253, 146) -> ó254
Step 751: (254, 148) -> õ255
Step 752: (253, 150) -> ÷254
Step 753: (254, 152) -> ù255
Step 754: (253, 154) -> û254
Step 755: (254, 156) -> ý255
Step 756: (253, 158) -> ÿ254
Step 757: (254, 160) -> ā255
Step 758: (253, 162) -> ă254
Step 759: (254, 164) -> ą255
Step 760: (253, 166) -> ć254
Step 761: (254, 168) -> ĉ255
Step 762: (253, 170) -> ċ254
Step 763: (254, 172) -> č255
Step 764: (253, 174) -> ď254
Step 765: (254, 176) -> đ255
Step 766: (253, 178) -> ē254
Step 767: (254, 180) -> ĕ255
Step 768: (253, 182) -> ė254
Step 769: (254, 184) -> ę255
Step 770: (253, 186) -> ě254
Step 771: (254, 188) -> ĝ255
Step 772: (253, 190) -> ğ254
Step 773: (254, 192) -> ġ255
Step 774: (253, 194) -> ģ254
Step 775: (254, 196) -> ĥ255
Step 776: (253, 198) -> ħ254
Step 777: (254, 200) -> ĩ255
Step 778: (253, 202) -> ī254
Step 779: (254, 204) -> ĭ255
Step 780: (253, 206) -> į254
Step 781: (254, 208) -> ı255
Step 782: (253, 210) -> ĳ254
Step 783: (254, 212) -> ĵ255
Step 784: (253, 214) -> ķ254
Step 785: (254, 216) -> Ĺ255
Step 786: (253, 218) -> Ļ254
Step 787: (254, 220) -> Ľ255
Step 788: (253, 222) -> Ŀ254
Step 789: (254, 224) -> Ł255
Step 790: (253, 226) -> Ń254
Step 791: (254, 228) -> Ņ255
Step 792: (253, 230) -> Ň254
Step 793: (254, 232) -> ŉ255
Step 794: (253, 234) -> ŋ254
Step 795: (254, 236) -> ō255
Step 796: (253, 238) -> ŏ254
Step 797: (254, 240) -> ő255
Step 798: (253, 242) -> œ254
Step 799: (254, 244) -> ŕ255
Step 800: (253, 246) -> ŗ254
Step 801: (254, 248) -> ř255
Step 802: (253, 250) -> ś254
Step 803: (252, 252) -> ŝ253
Step 804: (254, 251) -> Ŝ255
Step 805: (253, 253) -> Ş254
Step 806: (251, 254) -> ş252
Step 807: (249, 253) -> Ş250
Step 808: (247, 254) -> ş248
Step 809: (245, 253) -> Ş246
Step 810: (243, 254) -> ş244
Step 811: (241, 253) -> Ş242
Step 812: (239, 254) -> ş240
Step 813: (237, 253) -> Ş238
Step 814: (235, 254) -> ş236
Step 815: (233, 253) -> Ş234
Step 816: (231, 254) -> ş232
Step 817: (229, 253) -> Ş230
Step 818: (227, 254) -> ş228
Step 819: (225, 253) -> Ş226
Step 820: (223, 254) -> ş224
Step 821: (221, 253) -> Ş222
Step 822: (219, 254) -> ş220
Step 823: (217, 253) -> Ş218
Step 824: (215, 254) -> ş216
